Player,Nation,Pos,Team,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Adam Boayar,ma MAR,MF,Elche,19,1,0,6,0,0,0,0,0,0,0
Adama Boiro,es ESP,DF,Athletic Club,23,1,1,45,0,0,0,0,0,0,0
Rahim Bonkano,ne NIG,DF,Oviedo,23,8,7,650,0,0,0,0,0,0,0.3
Lucas Boyé,ar ARG,"FW,MF",Alavés,29,5,3,282,1,0,0,0,0,0.6,0.1
Enzo Boyomo,cm CMR,DF,Osasuna,23,8,8,717,0,0,0,1,0,0,0.8
Josip Brekalo,hr CRO,FW,Oviedo,27,7,4,268,0,0,0,1,0,0.2,0.5
Abel Bretones,es ESP,"DF,MF",Osasuna,25,6,6,539,1,0,0,1,1,0.2,0.3
Brugui,es ESP,MF,Levante,28,8,6,533,0,1,0,0,0,1.5,0.4
Tajon Buchanan,ca CAN,MF,Villarreal,26,8,5,526,3,0,0,1,0,0.7,0.3
Ante Budimir,hr CRO,FW,Osasuna,34,8,7,636,2,0,1,0,0,2.3,0.3
Manu Bueno,es ESP,MF,Sevilla,21,1,0,13,0,0,0,0,0,0,0
Jorge Cabello,es ESP,DF,Levante,21,3,3,241,0,0,0,0,0,0,0
Leandro Cabrera,uy URU,DF,Espanyol,34,7,7,630,1,0,0,0,0,0.9,0
Calebe,br BRA,"MF,FW",Alavés,25,5,2,110,0,0,0,1,0,0,0.1
Fernando Calero,es ESP,DF,Espanyol,30,6,5,446,0,0,0,2,0,0.9,0
Duje Ćaleta-Car,hr CRO,DF,Real Sociedad,29,7,7,607,0,0,0,3,0,0.4,0.1
Dani Calvo,es ESP,DF,Oviedo,31,6,6,540,0,0,0,2,0,0,0
Dawda Camara,mr MTN,FW,Girona,22,2,1,72,0,0,0,0,0,0.1,0.2
Eduardo Camavinga,fr FRA,MF,Real Madrid,22,4,0,69,0,0,0,0,0,0,0
Sergio Camello,es ESP,"FW,MF",Rayo Vallecano,24,5,1,124,0,0,0,2,1,0.8,0.1
Sergi Cardona,es ESP,DF,Villarreal,26,7,7,611,0,2,0,1,0,0.2,1
Fábio Cardoso,pt POR,DF,Sevilla,31,1,1,76,0,0,0,0,0,0,0
Johnny Cardoso,us USA,MF,Atlético Madrid,24,3,3,183,0,0,0,2,0,0,0
David Carmo,ao ANG,DF,Oviedo,26,5,4,373,0,0,0,1,0,0.4,0
Carmona,es ESP,"DF,MF",Sevilla,23,7,6,555,1,2,0,2,0,0.2,0.8
Sergio Carreira,es ESP,"MF,DF",Celta Vigo,24,5,5,443,0,0,0,0,0,0,0.3
Álvaro Carreras,es ESP,DF,Real Madrid,22,8,8,711,0,0,0,2,0,0.1,0.6
Dani Carvajal,es ESP,DF,Real Madrid,33,6,4,357,0,0,0,0,0,0.2,0.5
Marc Casado,es ESP,MF,Barcelona,22,5,3,212,0,1,0,0,0,0.2,0
Castrin,es ESP,DF,Sevilla,22,5,4,333,0,0,0,1,0,0.1,0
Jonny Castro,es ESP,DF,Alavés,31,8,8,710,0,0,0,2,0,0.1,0.3
Catena,es ESP,DF,Osasuna,30,8,8,720,1,1,0,1,0,1,0.1
Santi Cazorla,es ESP,"MF,FW",Oviedo,40,7,1,200,0,0,0,0,0,0,0.4
Dani Ceballos,es ESP,MF,Real Madrid,29,6,3,235,0,0,0,0,0,0,0.2
Ilyas Chaira,ma MAR,"FW,MF",Oviedo,24,7,4,351,0,0,0,0,0,0.6,0
Pep Chavarría,es ESP,DF,Rayo Vallecano,27,8,7,652,1,0,0,3,0,0.3,0.3
Andreas Christensen,dk DEN,DF,Barcelona,29,6,3,289,0,0,0,1,0,0.1,0
