Player,Nation,Pos,Team,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Franco Mastantuono,ar ARG,"FW,DF",Real Madrid,18,7,5,402,1,0,0,3,0,1.9,0.6
Borja Mayoral,es ESP,FW,Getafe,28,6,5,376,2,1,0,0,0,0.8,0.2
Kylian Mbappé,fr FRA,FW,Real Madrid,26,8,8,696,9,2,2,2,0,6.6,1.9
Brais Méndez,es ESP,MF,Real Sociedad,28,7,4,388,1,1,0,2,0,0.6,0.3
Rodrigo Mendoza,es ESP,"MF,FW",Elche,20,5,4,359,1,0,0,2,0,0.3,0.3
Batista Mendy,fr FRA,MF,Sevilla,25,5,4,362,0,0,0,1,0,0.1,0.1
Georges Mikautadze,ge GEO,FW,Villarreal,24,5,3,306,2,1,0,0,0,1.4,0.7
Éder Militão,br BRA,DF,Real Madrid,27,6,6,495,1,0,0,1,0,0.4,0.1
Luis Milla,es ESP,MF,Getafe,30,8,8,719,0,5,0,2,0,0.1,1.7
Pere Milla,es ESP,"MF,FW",Espanyol,33,6,5,352,3,0,0,1,1,2.1,0.9
Óscar Mingueza,es ESP,"DF,MF",Celta Vigo,26,7,5,452,0,0,0,1,0,0.5,1.4
Bojan Miovski,mk MKD,FW,Girona,26,1,1,44,0,0,0,0,0,0,0
Rafa Mir,es ESP,FW,Elche,28,8,6,497,3,0,0,0,0,2.1,0
Johan Mojica,co COL,DF,Mallorca,33,8,6,561,0,0,0,0,0,0.1,0.6
Alberto Moleiro,es ESP,"MF,FW",Villarreal,22,8,5,370,1,0,0,0,0,1.3,0.9
Nahuel Molina,ar ARG,DF,Atlético Madrid,27,5,1,110,0,0,0,0,0,0,0.7
Jon Moncayola,es ESP,"MF,DF",Osasuna,27,8,8,705,0,1,0,1,0,0.2,1.5
Álex Moreno,es ESP,"DF,MF",Girona,32,7,6,585,0,0,0,0,0,0.7,0.1
Gerard Moreno,es ESP,FW,Villarreal,33,1,1,46,0,0,0,0,0,0.3,0.8
Matias Moreno,ar ARG,DF,Levante,22,5,4,341,0,0,0,1,0,0.3,0
Mateu Morey,es ESP,DF,Mallorca,25,8,5,376,1,0,0,2,0,0.3,0.2
Ilaix Moriba,gn GUI,MF,Celta Vigo,22,8,5,453,0,1,0,0,0,0.5,0.4
Manu Morlanes,es ESP,MF,Mallorca,26,6,6,448,0,0,0,2,1,0.1,0
Santiago Mouriño,uy URU,DF,Villarreal,23,7,7,616,0,1,0,4,1,0.3,0
Aihen Muñoz,es ESP,DF,Real Sociedad,28,5,3,276,0,0,0,1,0,0.2,0.2
Iker Muñoz,es ESP,MF,Osasuna,22,1,0,25,0,0,0,0,0,0,0
Javier Muñoz,es ESP,"MF,FW",Getafe,30,3,1,151,0,0,0,0,0,0.1,0
Víctor Muñoz,es ESP,"FW,MF",Osasuna,22,8,6,493,1,1,0,1,0,0.8,0.3
Vedat Muriqi,xk KVX,FW,Mallorca,31,7,7,555,4,0,1,1,1,2.5,0.1
Natan,br BRA,DF,Betis,24,8,8,720,0,0,0,3,0,0.1,0.2
Pau Navarro,es ESP,DF,Villarreal,20,1,1,57,0,0,0,1,0,0,0
Roberto Navarro,es ESP,"FW,MF",Athletic Club,23,7,2,246,1,0,0,1,0,0.6,0.3
Martim Neto,pt POR,MF,Elche,22,6,2,267,0,2,0,0,0,0.2,1.1
Yvan Neyou,cm CMR,MF,Getafe,28,3,0,65,0,0,0,2,0,0,0
Tanguy Nianzou,fr FRA,DF,Sevilla,23,3,2,171,0,0,0,2,0,0,0
Randy Nteka,ao ANG,FW,Rayo Vallecano,27,3,0,36,0,0,0,0,0,0,0
Álvaro Núñez,es ESP,"DF,FW",Elche,25,8,8,713,0,0,0,0,0,0,0.6
Ørjan Nyland,no NOR,GK,Sevilla,35,4,4,360,0,0,0,1,0,0,0
Allan Nyom,cm CMR,FW,Getafe,37,1,0,14,0,0,0,1,0,0,0
Jan Oblak,si SVN,GK,Atlético Madrid,32,8,8,720,0,0,0,0,0,0,0
Álvaro Odriozola,es ESP,DF,Real Sociedad,29,1,1,56,1,0,0,0,0,0.6,0
Olasagasti,es ESP,MF,Levante,25,5,2,201,0,0,0,0,0,0.1,0.1
Dani Olmo,es ESP,MF,Barcelona,27,8,4,489,1,2,0,0,0,1.4,1.5
Tani Oluwaseyi,ca CAN,FW,Villarreal,25,6,2,227,1,1,0,0,0,1.9,0.1
Aimar Oroz,es ESP,"FW,MF",Osasuna,23,4,4,313,0,0,0,1,0,0.3,0.3
Ángel Ortíz,es ESP,DF,Betis,21,2,1,101,0,0,0,0,0,0,0
Asier Osambela,es ESP,MF,Osasuna,21,3,0,60,0,0,0,0,0,0,0.1
Azzedine Ounahi,ma MAR,"MF,FW",Girona,25,4,4,335,1,0,0,2,0,0.3,0.8
Mikel Oyarzabal,es ESP,FW,Real Sociedad,28,8,8,688,2,1,1,0,0,3.5,2
Jon Pacheco,es ESP,DF,Alavés,24,4,3,286,0,0,0,1,0,0,0
Isaac Palazón Camacho,es ESP,"FW,MF",Rayo Vallecano,30,8,8,639,1,2,1,3,0,1.6,1.7
Diego Pampín,es ESP,DF,Levante,25,3,1,118,0,0,0,1,0,0,0
Victor Parada,es ESP,DF,Alavés,23,7,3,273,0,0,0,2,0,0.2,0.2
Aitor Paredes,es ESP,DF,Athletic Club,25,6,6,540,1,0,0,1,0,0.6,0
Daniel Parejo,es ESP,MF,Villarreal,36,7,2,257,0,0,0,2,0,0,0.8
Thomas Partey,gh GHA,MF,Villarreal,32,8,4,365,0,0,0,0,0,0.3,0
Alfonso Pedraza,es ESP,"DF,MF",Villarreal,29,6,1,192,0,0,0,2,0,0.1,0.6
Pedri,es ESP,MF,Barcelona,22,8,8,693,1,1,0,0,0,0.7,1.9
Adrià Pedrosa,es ESP,DF,Elche,27,3,2,181,1,0,0,3,0,0.1,0.4
Adrià Pedrosa,es ESP,DF,Sevilla,27,1,0,6,0,0,0,0,0,0,0
Iñaki Peña,es ESP,GK,Elche,26,3,3,270,0,0,0,0,0,0,0
Nicolas Pépé,ci CIV,"FW,MF",Villarreal,30,8,6,536,2,1,0,0,0,3.2,1.6
Peque,es ESP,"MF,FW",Sevilla,23,6,0,77,1,0,0,4,0,0.2,0
Ayoze Pérez,es ESP,FW,Villarreal,32,1,0,27,0,0,0,0,0,0,0
Francisco Perez,es ESP,"MF,FW",Rayo Vallecano,23,5,1,202,1,0,0,0,0,0.3,0.9
Léo Pétrot,fr FRA,DF,Elche,28,8,2,222,0,0,0,0,0,0.1,0.2
Charles Pickel,cd COD,MF,Espanyol,28,4,1,143,0,0,0,1,0,0.2,0
Lander Pinillos,es ESP,MF,Alavés,22,1,0,2,0,0,0,0,0,0,0
Yeremi Pino,es ESP,"MF,FW",Villarreal,22,2,2,159,0,1,0,0,0,0.2,0.9
Portu,es ESP,"FW,MF",Girona,33,8,3,394,0,0,0,2,0,0.8,0.3
Beñat Prados,es ESP,MF,Athletic Club,24,2,1,85,0,0,0,1,0,0,0.1
Abdón Prats,es ESP,FW,Mallorca,32,3,0,58,0,0,0,0,0,0.1,0.1
Javi Puado,es ESP,"FW,MF",Espanyol,27,8,8,661,2,0,1,2,0,3.5,0.8
Marc Pubill,es ESP,DF,Atlético Madrid,22,2,0,23,0,0,0,0,0,0,0
Dani Raba,es ESP,FW,Valencia,29,6,3,203,0,1,0,0,0,0.1,0.4
Ionuț Radu,ro ROU,GK,Celta Vigo,28,8,8,720,0,0,0,0,0,0,0
Antonio Raillo,es ESP,DF,Mallorca,33,8,8,720,0,0,0,1,0,0.2,0
Largie Ramazani,be BEL,"FW,MF",Valencia,24,5,0,90,0,1,0,0,0,0.4,0.5
Raphinha,br BRA,"FW,MF",Barcelona,28,6,5,381,3,2,0,2,0,2.2,1.4
Marcus Rashford,eng ENG,FW,Barcelona,27,8,5,464,1,3,0,1,0,1.3,1.4
Giacomo Raspadori,it ITA,FW,Atlético Madrid,25,5,1,128,0,0,0,0,0,0.6,0.5
Andrei Ratiu,ro ROU,"DF,MF",Rayo Vallecano,27,8,8,720,0,1,0,2,0,0.5,0.8
Raúl,es ESP,"FW,DF",Osasuna,24,8,2,235,1,0,0,0,0,1.3,0
Abde Rebbach,dz ALG,"MF,FW",Alavés,27,6,3,317,0,0,0,1,0,0.6,0.4
Federico Redondo,ar ARG,MF,Elche,22,2,0,11,0,0,0,0,0,0,0
Alejandro Rego,es ESP,"MF,FW",Athletic Club,22,4,0,64,1,0,0,0,0,0.2,0
Alberto Reina,es ESP,MF,Oviedo,28,7,6,382,1,0,0,3,1,0.3,0.1
Vitor Reis,br BRA,DF,Girona,19,7,6,528,0,0,0,2,1,0.1,0.3
Álex Remiro,es ESP,GK,Real Sociedad,30,8,8,720,0,0,0,0,0,0,0.1
Oriol Rey,es ESP,MF,Levante,27,8,6,574,0,0,0,0,0,0,0.1
Diego Rico,es ESP,DF,Getafe,32,7,7,618,0,0,0,0,0,0,0.1
Clemens Riedel,de GER,DF,Espanyol,22,3,3,270,0,1,0,0,0,0.1,0
Hugo Rincón,es ESP,"DF,MF",Girona,22,7,3,416,0,0,0,1,0,0.4,0.7
Luis Rioja,es ESP,"MF,FW",Valencia,31,8,7,594,0,3,0,1,0,0.5,1.4
Rodrigo Riquelme,es ESP,"FW,MF",Betis,25,8,5,383,0,1,0,0,0,0.7,1.4
Mihailo Ristić,rs SRB,"DF,MF",Celta Vigo,29,3,3,191,0,0,0,0,0,0,0
Joel Roca,es ESP,"FW,MF",Girona,20,5,5,367,1,0,0,0,0,0.5,0.1
Marc Roca,es ESP,MF,Betis,28,3,2,178,0,0,0,0,0,0,0.1
Álvaro Rodríguez,uy URU,FW,Elche,21,7,5,437,0,2,0,0,0,1.4,0.8
Damián Rodríguez,es ESP,MF,Celta Vigo,22,1,1,90,0,0,0,0,0,0.1,0.1
Dani Rodríguez,es ESP,MF,Mallorca,37,2,0,68,0,0,0,0,0,0,0
Javi Rodríguez,es ESP,DF,Celta Vigo,22,7,5,486,0,0,0,1,0,0.2,0.1
Ricardo Rodríguez,ch SUI,DF,Betis,33,5,4,380,0,1,0,0,0,0.1,0.4
Rodrygo,br BRA,FW,Real Madrid,24,6,1,133,0,0,0,0,0,0.3,0.4
Leo Román,es ESP,GK,Mallorca,25,8,8,720,0,0,0,1,0,0,0
Miguel Román,es ESP,MF,Celta Vigo,22,2,2,159,0,0,0,2,0,0.5,0
Carlos Romero,es ESP,DF,Espanyol,23,8,8,711,1,1,0,0,0,0.3,1.1
Isaac Romero,es ESP,FW,Sevilla,25,7,5,414,3,0,0,2,0,2.1,0.2
Iván Romero,es ESP,FW,Levante,24,8,8,606,4,0,0,1,0,3.2,0.9
Salomón Rondón,ve VEN,FW,Oviedo,36,7,5,415,1,0,0,2,0,2.3,0.2
Valentin Rosier,fr FRA,"DF,MF",Osasuna,29,7,7,571,0,1,0,3,1,0.1,0.6
Rubén,es ESP,DF,Espanyol,24,3,0,50,0,0,0,0,0,0,0
Antonio Rüdiger,de GER,DF,Real Madrid,32,1,1,90,0,0,0,0,0,0,0
Javier Rueda Garcia,es ESP,"DF,MF",Celta Vigo,23,6,3,340,1,2,0,1,0,0.4,0.9
Matteo Ruggeri,it ITA,DF,Atlético Madrid,23,6,3,284,0,0,0,1,0,0,0.1
Aitor Ruibal,es ESP,FW,Betis,29,5,3,261,1,0,0,0,0,1.6,0.2
Mathew Ryan,au AUS,GK,Levante,33,6,6,540,0,0,0,1,0,0,0
Umar Sadiq,ng NGA,FW,Real Sociedad,28,2,0,16,0,0,0,0,0,0,0
Jan Salas,es ESP,MF,Mallorca,20,2,0,17,0,0,0,0,0,0,0
Kike Salas,es ESP,DF,Sevilla,23,4,4,360,0,0,0,0,0,0.1,0
José Salinas,es ESP,"FW,DF",Espanyol,25,3,0,22,0,0,0,1,0,0,0
Oihan Sancet,es ESP,MF,Athletic Club,25,6,5,433,1,0,1,0,0,2,0.4
Alexis Sánchez,cl CHI,"FW,MF",Sevilla,36,5,2,321,2,1,1,0,0,1,0.4
Antonio Sánchez,es ESP,"MF,DF",Mallorca,28,7,3,274,0,0,0,4,1,0,0
Juanlu Sánchez,es ESP,"DF,FW",Sevilla,22,6,4,400,0,1,0,0,0,0.2,0.2
Borja Sánchez Laborde,es ESP,MF,Oviedo,29,1,0,14,0,0,0,0,0,0,0
Manu Sánchez,es ESP,DF,Levante,25,7,7,595,0,1,0,4,0,0.1,0.9
Álex Sancris,es ESP,"FW,MF",Getafe,28,4,1,180,0,0,0,0,0,0,0.2
Maroan Sannadi,ma MAR,FW,Athletic Club,24,7,2,227,1,0,0,2,0,1,0.6
Baptiste Santamaria,fr FRA,MF,Valencia,30,8,6,519,1,1,0,1,0,0.4,1
Nicolás Serrano,es ESP,FW,Athletic Club,22,3,2,117,0,0,0,0,0,0.3,0.1
Kwasi Sibo,gh GHA,MF,Oviedo,27,5,3,294,0,0,0,0,0,0.1,0
André Silva,pt POR,FW,Elche,29,7,4,364,4,0,0,0,0,3.1,0.3
Giuliano Simeone,ar ARG,"MF,FW",Atlético Madrid,22,8,7,607,1,2,0,1,0,2.4,0.8
Unai Simón,es ESP,GK,Athletic Club,28,8,8,720,0,0,0,0,0,0,0
Antonio Sivera,es ESP,GK,Alavés,29,8,8,720,0,0,0,0,0,0,0
Alex Sola,es ESP,FW,Getafe,26,1,0,13,0,0,0,0,0,0,0
Carlos Soler,es ESP,MF,Real Sociedad,28,5,2,215,0,0,0,2,0,0.2,0.4
Jhon Solis,co COL,MF,Girona,21,7,3,300,0,0,0,0,0,0.1,0
Manor Solomon,il ISR,"MF,DF",Villarreal,26,3,1,102,1,1,0,0,0,0.4,0.2
David Soria,es ESP,GK,Getafe,32,8,8,720,0,0,0,1,0,0,0
Hugo Sotelo,es ESP,MF,Celta Vigo,21,7,6,536,0,1,0,1,0,0.1,1.1
Djibril Sow,ch SUI,MF,Sevilla,28,4,3,250,1,0,0,0,0,0.2,0.2
Carl Starfelt,se SWE,DF,Celta Vigo,30,3,1,123,0,0,0,0,0,0.2,0
Orri Steinn Óskarsson,is ISL,FW,Real Sociedad,21,3,1,113,1,0,0,0,0,0.5,0.3
Cristhian Stuani,uy URU,FW,Girona,38,4,1,104,0,0,0,0,0,0,0
Denis Suárez,es ESP,MF,Alavés,31,6,1,159,0,0,0,0,0,0,0.1
Gabriel Suazo,cl CHI,"DF,MF",Sevilla,28,6,5,480,0,0,0,1,0,0,0.3
Luka Sučić,hr CRO,MF,Real Sociedad,23,4,1,123,0,0,0,0,0,0.2,0.1
Williot Swedberg,se SWE,"MF,FW",Celta Vigo,21,6,3,236,0,0,0,1,0,0.2,0.1
Wojciech Szczęsny,pl POL,GK,Barcelona,35,2,2,180,0,0,0,0,0,0,0
Alexander Sørloth,no NOR,FW,Atlético Madrid,29,7,3,297,2,0,0,2,1,1.3,0.1
César Tárrega,es ESP,DF,Valencia,23,8,8,720,0,0,0,2,0,0.1,0.1
Aurélien Tchouaméni,fr FRA,"MF,DF",Real Madrid,25,8,7,649,0,0,0,2,0,0.9,0
Nahuel Tenaglia,ar ARG,DF,Alavés,29,7,7,630,1,0,0,1,0,0.4,0
Arnau Tenas,es ESP,GK,Villarreal,24,2,2,180,0,0,0,0,0,0,0
Ramón Terrats,es ESP,MF,Espanyol,24,6,1,96,0,0,0,0,0,0.3,0.3
Jeremy Toljan,de GER,DF,Levante,31,8,8,692,1,2,0,2,0,0.7,1.5
Pablo Torre,es ESP,"MF,FW",Mallorca,22,8,6,473,0,1,0,1,0,0.1,0.9
Jofre Torrents,es ESP,DF,Barcelona,18,2,0,40,0,0,0,0,0,0,0
Ferrán Torres,es ESP,FW,Barcelona,25,8,7,532,4,1,0,1,0,4.3,0.9
Lucas Torró,es ESP,MF,Osasuna,31,8,8,617,0,0,0,3,0,0.4,0.1
Óscar Trejo,ar ARG,MF,Rayo Vallecano,37,3,0,32,0,0,0,2,0,0,0.1
Viktor Tsyhankov,ua UKR,"MF,FW",Girona,27,2,2,167,0,1,0,0,0,0,0.3
Beñat Turrientes,es ESP,MF,Real Sociedad,23,5,3,239,0,0,0,2,0,0.2,0
Christantus Uche,ng NGA,FW,Getafe,22,3,3,270,1,1,0,1,0,1.4,0.4
Filip Ugrinic,ch SUI,MF,Valencia,26,4,0,93,0,1,0,0,0,0,0.2
Óscar Valentín,es ESP,MF,Rayo Vallecano,31,6,4,359,0,0,0,0,0,0.1,0
Germán Valera,es ESP,"FW,DF",Elche,23,7,6,529,1,1,0,0,0,0.5,0.8
Martin Valjent,sk SVK,DF,Mallorca,29,8,8,720,0,0,0,0,0,0.2,0
Álvaro Vallés,es ESP,GK,Betis,28,3,3,270,0,0,0,0,0,0,0
Federico Valverde,uy URU,"MF,DF",Real Madrid,27,8,7,655,0,3,0,0,0,0.7,0.8
Vladyslav Vanat,ua UKR,FW,Girona,23,5,5,347,2,0,0,0,0,1.8,0.2
Ruben Vargas,ch SUI,"MF,FW",Sevilla,27,7,6,457,1,4,0,1,0,0.6,1.2
José Luis García Vayá,es ESP,MF,Valencia,27,6,4,370,0,0,0,0,0,0.3,0.3
Jesus Vazquez,es ESP,DF,Valencia,22,6,2,291,0,0,0,0,0,0.1,0.1
Renato Veiga,pt POR,DF,Villarreal,22,7,4,435,0,0,0,1,0,0,0
Unai Vencedor Paris,es ESP,MF,Levante,24,4,4,244,0,0,0,1,0,0,0.6
Jozhua Vertrouwd,nl NED,DF,Rayo Vallecano,21,3,1,191,0,0,0,0,0,0,0.1
Mikel Vesga,es ESP,MF,Athletic Club,32,7,1,153,0,0,0,0,0,0,0.1
Carlos Vicente,es ESP,"MF,FW",Alavés,26,8,6,589,3,0,3,0,0,2.5,1
Nacho Vidal,es ESP,"DF,MF",Oviedo,30,5,5,349,0,0,0,0,0,0,0
Federico Viñas,uy URU,FW,Oviedo,27,6,2,237,0,0,0,2,1,0.5,0.5
Jan Virgili,es ESP,MF,Mallorca,19,3,0,58,0,1,0,0,0,0,0.5
Daniel Vivian,es ESP,DF,Athletic Club,26,7,7,600,0,0,0,2,1,0.4,0.2
Odysseas Vlachodimos,gr GRE,GK,Sevilla,31,4,4,360,0,0,0,1,0,0,0
Iñaki Williams,gh GHA,FW,Athletic Club,31,8,8,627,1,0,1,0,0,2.3,0.5
Nico Williams,es ESP,FW,Athletic Club,23,4,3,291,1,1,1,0,0,1.6,0.8
Axel Witsel,be BEL,MF,Girona,36,5,5,371,0,0,0,2,1,0.2,0.1
Lamine Yamal,es ESP,FW,Barcelona,18,4,3,303,2,3,1,0,0,1.6,1.3
Arsen Zakharyan,ru RUS,MF,Real Sociedad,22,2,0,50,0,0,0,0,0,0,0
Bryan Zaragoza,es ESP,"FW,MF",Celta Vigo,24,8,3,318,0,0,0,0,0,0.5,0.1
Igor Zubeldia,es ESP,DF,Real Sociedad,28,8,8,720,0,0,0,3,0,0.2,0.3
